RSRP,RSRQ,RSSI,PCC_SINR,PCC_PHY_Thruput_DL,PDCP_Thruput_DL
-103.86,-16.15,-72.58,-6.72,793.41,588.31
-103.35,-15.09,-73.76,-5.08,684.03,265.42
-103.35,-15.09,-73.76,-5.08,684.03,265.42
-103.35,-15.09,-73.76,-5.08,684.03,265.42
-103.35,-15.09,-73.76,-5.08,684.03,265.42
-99.43,-12.44,-72.52,-1.15,801.37,237.86
-99.43,-12.44,-72.52,-1.15,801.37,237.86
-99.43,-12.44,-72.52,-1.15,801.37,237.86
-99.43,-12.44,-72.52,-1.15,801.37,237.86
-91,-4.93,-71.94,9.08,184.75,12.85
-91,-4.93,-71.94,9.08,184.75,12.85
-91,-4.93,-71.94,9.08,184.75,12.85
-91,-4.93,-71.94,9.08,184.75,12.85
-90.78,-4.8,-71.89,8.43,2620.87,45.14
-90.78,-4.8,-71.89,8.43,2620.87,45.14
-90.78,-4.8,-71.89,8.43,2620.87,45.14
-90.78,-4.8,-71.89,8.43,2620.87,45.14
-89.17,-4.28,-70.76,10.73,164.8,0.14
-89.17,-4.28,-70.76,10.73,164.8,0.14
-89.17,-4.28,-70.76,10.73,164.8,0.14
-89.17,-4.28,-70.76,10.73,164.8,0.14
-90.84,-5,-71.72,9.78,4950.8,471.82
-90.84,-5,-71.72,9.78,4950.8,471.82
-90.84,-5,-71.72,9.78,4950.8,471.82
-90.84,-5,-71.72,9.78,4950.8,471.82
-91.25,-7.83,-68.88,9.64,6821.43,3374.67
-91.25,-7.83,-68.88,9.64,6821.43,3374.67
-91.25,-7.83,-68.88,9.64,6821.43,3374.67
-91.25,-7.83,-68.88,9.64,6821.43,3374.67
-88.89,-9.03,-65.69,11.9,9868.85,8344.19
-88.89,-9.03,-65.69,11.9,9868.85,8344.19
-88.89,-9.03,-65.69,11.9,9868.85,8344.19
-88.89,-9.03,-65.69,11.9,9868.85,8344.19
-88.39,-8.7,-65.51,11.52,8203.85,8230.44
-88.39,-8.7,-65.51,11.52,8203.85,8230.44
-88.39,-8.7,-65.51,11.52,8203.85,8230.44
-88.39,-8.7,-65.51,11.52,8203.85,8230.44
-91.25,-8.34,-68.75,8.9,8235.72,7596.72
-91.25,-8.34,-68.75,8.9,8235.72,7596.72
-91.25,-8.34,-68.75,8.9,8235.72,7596.72
-91.25,-8.34,-68.75,8.9,8235.72,7596.72
-91.07,-8.3,-68.5,9.68,6790.24,5946.24
-91.07,-8.3,-68.5,9.68,6790.24,5946.24
-91.07,-8.3,-68.5,9.68,6790.24,5946.24
-91.07,-8.3,-68.5,9.68,6790.24,5946.24
-89.69,-8.08,-67.43,10.49,8626.42,7392.03
