RSRP,RSRQ,RSSI,PCC_PHY_Thruput_DL,PDCP_Thruput_DL
-69.5,-7.79,-47.15,10529.49,10941.95
-70.21,-8.52,-47.31,12912.68,10297.92
-70.21,-8.52,-47.31,12912.68,10297.92
-73.16,-9.35,-49.64,10253.02,7762.75
-73.16,-9.35,-49.64,10253.02,7762.75
-72.38,-9.67,-48.6,9367.31,8940.76
-72.38,-9.67,-48.6,9367.31,8940.76
-73.39,-10.0,-49.28,8153.4,5159.57
-73.39,-10.0,-49.28,8153.4,5159.57
-71.13,-9.14,-47.16,6460.7,5557.8
-71.13,-9.14,-47.16,6460.7,5557.8
-71.2,-10.05,-46.98,6919.25,5657.35
-71.2,-10.05,-46.98,6919.25,5657.35
-71.58,-10.45,-46.85,6096.09,5425.23
-71.58,-10.45,-46.85,6096.09,5425.23
-71.39,-10.49,-46.59,6510.57,4707.2
-71.39,-10.49,-46.59,6510.57,4707.2
-74.76,-11.1,-49.44,5334.91,3780.39
-74.76,-11.1,-49.44,5334.91,3780.39
-76.94,-10.4,-52.33,4258.99,4346.02
-76.94,-10.4,-52.33,4258.99,4346.02
-76.04,-9.54,-52.36,6084.18,6364.93
-76.04,-9.54,-52.36,6084.18,6364.93
-74.25,-10.12,-50.03,6804.49,3748.55
-74.25,-10.12,-50.03,6804.49,3748.55
-72.25,-9.89,-48.16,4151.96,4246.66
-72.25,-9.89,-48.16,4151.96,4246.66
-72.12,-9.88,-48.02,4710.13,4342.34
-72.12,-9.88,-48.02,4710.13,4342.34
-69.64,-8.13,-46.98,6088.51,10450.17
-69.64,-8.13,-46.98,6088.51,10450.17
-71.33,-9.12,-48.11,12204.72,10144.91
-71.33,-9.12,-48.11,12204.72,10144.91
-71.41,-9.19,-48.13,11738.12,10750.73
-71.41,-9.19,-48.13,11738.12,10750.73
-71.43,-9.01,-48.33,12744.7,12909.0
-71.43,-9.01,-48.33,12744.7,12909.0
-73.17,-8.78,-50.27,13387.01,12539.01
-73.17,-8.78,-50.27,13387.01,12539.01
-74.46,-8.67,-51.68,14017.63,11192.73
-74.46,-8.67,-51.68,14017.63,11192.73
-74.37,-8.44,-51.76,12377.84,12565.79
-74.37,-8.44,-51.76,12377.84,12565.79
-73.45,-8.79,-50.64,14563.9,12425.73
-73.45,-8.79,-50.64,14563.9,12425.73
-75.5,-8.61,-52.73,14019.45,12810.81
-75.5,-8.61,-52.73,14019.45,12810.81
-74.61,-8.78,-51.8,13372.19,10281.2
-74.61,-8.78,-51.8,13372.19,10281.2
-75.94,-8.82,-52.95,11514.44,12435.8
-75.94,-8.82,-52.95,11514.44,12435.8
-76.41,-8.91,-53.38,12981.26,12004.35
-76.41,-8.91,-53.38,12981.26,12004.35
-74.92,-8.64,-52.15,14271.02,13161.98
-74.92,-8.64,-52.15,14271.02,13161.98
-76.69,-8.71,-53.86,13278.35,11486.3
